index_dec,char,replaced_char
1122,e,旧
1188,t,検
1192,o,芳
1207,n,搭
1211,i,誕
1230,s,歪
1239,r,控
1240,h,鑑
1258,l,伴
1362,d,僻
1374,c,喋
1390,u,猾
1442,f,尋
1454,g,梨
1463,w,碑
1477,y,蝶
1506,b,蓮
1556,v,堂
1561,k,褒
1574,x,曇
1583,q,澄
1591,z,喪
1592,j,曖
1595,',劫
1610,",",傲
1613,.,迅
1618,a,貿
1619,m,顧
1621,p,貝
1636,in,裸
1640,th,毛
1645,st,灌
1648,re,渉
1650,ar,奉
1654,en,嬢
1660,me,鐘
1663,co,筑
1668,el,雹
1670,an,踊
1672,er,戴
1678,nd,汗
1686,le,誌
1690,os,畜
1694,ct,乞
1695,ac,肢
1704,al,峠
1708,se,訣
1711,ir,齢
1714,ho,暖
1718,te,謹
1720,to,挨
1726,at,校
1730,de,蹴
1734,em,叙
1742,ma,旗
1743,on,翻
1745,ic,机
1746,or,呆
1750,fo,扮
1755,hi,洪
1756,is,孫
1759,am,腰
1761,fi,察
1763,ve,巡
1764,ti,慎
1765,lo,塩
1768,it,欺
1770,ss,州
1771,io,璧
1773,ex,壮
1774,ll,宇
1777,ta,逐
1778,be,随
1779,di,掴
1780,li,菜
1781,es,穏
1784,ig,則
1785,he,劇
1786,ge,馴
1787,sp,惰
1789,tt,瞳
1790,ea,遇
1797,ba,是
1798,si,濁
1801,ng,簒
1803,no,惨
1807,ra,依
1808,ph,洒
1809,ri,輩
1810,ne,捉
1812,ha,泳
1813,wh,詩
1815,ro,益
1816,tr,鬼
1817,sh,戮
1819,ed,膳
1820,gu,唯
1097,yl,忍
1150,wi,肖
1174,ol,摘
1180,ce,諾
1208,et,載
1216,il,峙
1234,ur,瀕
1352,ec,泣
1356,ai,丁
1366,of,孤
1376,ie,錠
1469,ow,焦
1481,as,衰
1503,vi,遜
1517,ht,勉
1525,pe,貰
1528,rs,騙
1534,we,祈
1538,id,憩
1550,ev,盛
1568,pr,隔
1573,iv,詫
1576,ua,弁
1580,ov,趣
1588,ef,芽
1601,wa,励
1611,rf,添
1614,rm,績
1633,og,節
1638,au,拳
1658,gr,採
1664,ut,奏
1666,zo,飽
1674,gn,丘
1676,ts,温
1688,mi,酒
1700,ry,論
1715,ke,絵
1722,om,拾
1728,ns,賛
1735,sy,翌
1738,mm,蜂
1741,ep,釈
1748,ad,削
1754,rn,堤
1791,ag,莱
1806,op,飯
1110,po,偶
1120,rt,挙
1123,dy,舞
1124,ab,老
1195,ul,請
1251,nc,免
1326,lt,致
1330,eo,眺
1347,qu,柵
1360,go,評
1364,us,寂
1433,ch,律
1457,ia,染
1497,ou,崇
1509,mb,償
1529,od,誉
1549,rc,丸
1598,cs,紛
1643,la,掃
1679,nf,汁
1705,eq,迫
1706,ui,忙
1716,ca,糸
1723,oe,膨
1736,oo,昼
1753,rd,縛
1757,ps,胞
1766,lf,枯
1767,up,渇
1775,pt,綺
1099,na,盗
1138,kn,壇
1203,dg,征
1231,ff,占
1246,ty,疎
1247,ug,戒
1349,pu,微
1358,cu,樽
1365,ap,妙
1386,ru,伸
1408,ys,悩
1499,ld,濃
1521,sa,叶
1605,im,促
1625,cl,就
1630,ds,軟
1647,ue,写
1655,nt,倉
1724,pi,蘇
1727,ip,院
1793,'s,耗
1129,pl,廃
1139,bu,昆
1146,ee,党
1226,gh,阻
1317,ly,慢
1348,ni,玉
1420,tu,湖
1440,av,骸
1449,ob,甲
1537,fa,諸
1615,so,茶
1194,um,演
1241,un,犠
1257,ck,牽
1485,tl,徹
1566,bd,停
1586,iz,局
1606,ci,繁
1687,nr,複
1739,pm,農
1100,mp,賊
1155,je,誓
1214,gs,抱
1219,mr,語
1346,nz,恕
1383,iu,煙
1424,ib,朝
1439,rp,卵
1443,ny,裕
1451,ub,易
1461,az,慌
1553,bs,試
1600,ga,努
1659,dn,換
1128,gt,恨
1143,ms,索
1249,cr,散
1467,ud,床
1489,nb,建
1532,fr,焼
1570,dr,勧
1642,fl,商
1696,eg,維
1202,aw,閉
1224,nq,諦
1372,r',寝
1565,rv,室
1334,yt,冒
1699,br,妹
1171,pp,独
1178,bo,卿
1460,ju,閣
1341,by,悔
1404,fe,例
1421,rw,払
1431,lm,仇
1524,ya,頂
1544,sm,互
1709,mu,網
1731,da,営
1218,gg,階
1373,nu,嬉
1382,oy,飲
1423,lp,誘
1473,wo,若
1200,nl,徐
1395,ls,招
1398,mo,腕
1426,uy,花
1104,dj,策
1142,ox,二
1235,oi,荷
1243,sn,遺
1259,my,被
1603,Ca,科
1796,Me,頻
1332,No,偉
1313,Su,台
1540,Le,迎
1338,Cl,休
1452,Co,嫌
1692,Ch,植
1340,Re,騒
1368,Ma,姉
1260,It,避
1370,xt,扉
1396,Vi,券
1179,Pl,承
1164,gi,敷
1191,sc,返
1198,Ac,侵
1112,su,病
1135,Mo,砦
1227,St,夜
1344,En,甘
325,De,告
1513,Ba,証
1336,Fo,礼
1434,sk,故
1378,Di,箱
1238,nn,艦
1417,ot,週
1172,Sa,東
1190,Ne,殿
1131,Au,路
1162,In,領
1316,Bo,駄
1350,Hi,緒
1159,ew,犯
1145,Vo,樹
1225,As,結
1314,Go,橘
1323,Se,申
1114,Tr,探
1106,Bu,研
1107,Ar,究
1183,Sk,艇
1116,bl,街
1160,fu,頼
1132,An,城
1111,ki,父
1134,Ga,逃
1342,Fr,僕
1320,Si,奴
1325,gm,俺
409,Sh,浅
426,Rn,柴
432,c1,沢
436,c2,豊
452,Mg,松
456,At,祐
462,k.,潤
482,He,坂
508,Wa,環
739,Cm,殴
842,d.,冶
864,Ad,贄
873,j.,脚
881,f.,惹
898,Bt,采
902,l.,透
940,n.,拡
941,Ex,縮
999,Ab,尻
1024,Ye,吐
1080,Wi,仏
1084,Te,吞
1090,Sp,蓋
1095,Sl,炸
415,Fa,稲
419,Ge,哲
428,Pi,戸
429,Fi,宗
457,xe,鮎
471,yo,隆
472,.1,之
480,.2,脇
484,do,吾
486,We,也
624,Ot,芸
644,Ke,較
764,Yo,穂
905,Na,善
931,Pa,称
963,e1,創
985,e2,乙
1001,t.,針
1031,m.,浴
1035,e.,嵐
1040,"e,",隕
1079,za,浜
363,oj,熟
366,bi,痺
410,p.,田
430,"p,",寛
434,yf,智
437,gc,嶋
444,va,堀
450,lv,康
458,ze,龍
485,rg,塚
487,yx,吉
488,hy,孝
491,pa,浩
516,lu,豪
665,gy,凍
683,"r,",麟
684,ok,覆
820,dd,珍
824,ao,胴
828,wk,字
829,ey,贈
840,yc,材
843,"t,",煮
936,xu,把
939,"y,",号
969,nm,劣
1038,r.,震
1052,w.,快
1061,Pu,滑
1074,Eq,牙
1076,",p",靭
1151,Lo,銘
1167,Sc,漏
1186,Tu,賜
1206,Un,遭
1318,Da,淡
1389,Is,狡
1391,Th,剥
1409,Ea,畳
